6341,'上海市杨浦区政民路485号','大学路韩国料理',31.301216,121.503974,315,0,38,65106328 18616821572 18916538482,4.8,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
6357,'上海市杨浦区军工路100号82幢A3、A4室','晓杨餐厅',31.290239,121.551537,1825,0,39,13817212771,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
6498,'浦东新区康桥镇康桥路1636号','黄山菜饭',31.150314,121.581344,57,0,32,15921345787 13764150485,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
6543,'广延路225号','小町寿司（广延路店）',31.272331,121.457603,117,0,37,15800380365 13917407051 13817803353,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
6546,'上海市浦东新区张江镇科苑路1171号1层','阿康烧烤科苑店',31.19212,121.59069,870,0,40,13166081177 18321751722,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
6615,'上海市虹口区西江湾路550号','好友重庆麻辣烫',31.273919,121.47935,140,0,32,18001767623 65875810,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
7117,'上海市宝山区聚丰园路37号-1','E68夜市大鸡排',31.3130486,121.386787,202,0,36,13857979311,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
7165,'上海市宝山区聚丰园路5弄1号','袁姐桂林特色米粉',31.319023,121.388298,918,0,38,18918209602,4.8,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
7667,'上海市静安区共和新路3368号二层204室','依家韩国料理',31.296855,121.447814,3218,0,49,18821105777 18717965368 15021239733,4.8,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
7697,'上海市宝山区锦秋路1098号','小花园',31.320319,121.3852,3119,0,36,56133778 15601902337,4.6,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
8023,'浦东新区南汇新城镇马樱丹路133弄65、67号','川江汇海川菜小龙虾',30.88343097,121.9170689,1651,0,58,15921420092 15921420092,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
8033,'上海市宝山区锦秋路695弄36号','香港地道小吃（上海大学店）',31.321627,121.392095,3123,0,35,18221980391 13916984181,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
8091,'上海市浦东新区张江镇科苑路1135号','贵妃餐厅',31.192684,121.591433,1056,0,38,18930045177,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
8122,'上海','乐好奇炸鸡(上海南站店)',31.148843,121.430521,1849,0,27,18217078008,4.4,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
8498,'上海市徐汇区宜山路643号1层东部南一','东北家常菜(东北风味)',31.177881,121.424744,1832,0,30,15026876038 13524602198,4.6,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
8505,'上海市闵行区东兰路288号3号楼111室','陆记铁板炒饭',31.157042,121.398837,1085,0,33,13818388151,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
8520,'上海市浦东新区张杨路501号902室','新旺茶餐厅（八佰伴店）',31.228109,121.516683,3499,0,28,58357979,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
9064,'上海市徐汇区太原路283号1幢','雨点酒屋（太原路店）',31.203056,121.455886,290,0,29,13166194912,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
9265,'上海市闸北区共和新路590号1层','吉祥馄饨（上海共和新路店）',31.252801,121.463439,623,0,21,15221163083 021-56986206,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
9732,'上海市虹口区新市南路847号底层乙室','祥和桂林米粉（847号）',31.296061,121.480971,847,0,34,18801802050 65106088,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
9805,'浦东新区栖路1385-1389号W27号房','重庆麻辣烫（栖山店）',31.258719,121.567501,1070,0,34,13262510589 13040606599,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
9854,'浦东新区金丰路455号5幢2层','正宗兰州牛肉拉面(金桥店)',31.24639189,121.5843882,320,0,28,50714424,4.2,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
10030,'浦东新区浦东大道2633号底层丙室','悸动烧仙草&豪大大鸡排',31.264283,121.567895,1281,0,39,13524955517 13601940087,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
10163,'上海市浦东新区灵山路1788号','永峰老鸭粉丝砂锅店（德平路店）',31.241648,121.568206,351,0,33,15121130478,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
10209,'杨浦区密云路428号','黄山咸肉菜饭',31.280245,121.497242,66,0,31,15021462493 15021462491,3.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
10911,'上海市宝山区大场镇聚丰园路37号-1','E68老马记陕西凉皮',31.31549971,121.3862209,512,0,45,18721974170,4.8,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
10913,'上海市杨浦区平凉路2767弄22号','小四川餐厅',31.279467,121.55594,2199,0,49,13641935176 13817673665,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
11095,'上海市宝山区大场镇锦秋路809弄82号一层','济梓园家常菜(锦秋店)',31.32067,121.385715,2404,0,39,17302199430,4.5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
11267,'上海市浦东新区张江镇晨晖路725号101室','阿牛嫂木桶饭蔡伦路店',31.191123,121.594017,84,0,29,18301736866 021-61994112,4.7,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
11471,'徐汇区漕河泾街道漕宝路320号－10','乐天家常菜（小龙虾）',31.16513,121.41195,2139,0,58,13472504773 64081241,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
11502,'上海市杨浦区国定东路273弄1号103','九州拉面（国定东路店）',31.298128,121.521166,1068,0,35,35316095,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
11805,'上海市闵行区东兰路288号2号楼2-113室','华记桂林米粉',31.15801,121.399871,2877,0,26,02134226897 15021421954,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
11888,'闵行区东川路889-1号','食悟恋低脂健康厨房',31.016428,121.431363,2473,0,48,13806881539 18721201196,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12042,'上海市长宁区水城路45弄7号101室','棕榈树餐厅',31.20258092,121.3912652,16,0,31,13641684978 62425933,4.4,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12052,'上海市闵行区虹桥镇吴中路381号','豪大大香鸡排虹梅路吴中路店',31.180578,121.392692,929,0,32,13681848590 13524713313,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12111,'浦东新区张杨路1029-1号','留夫鸭(张杨店)',31.231082,121.528091,290,0,38,13816383680 021-58302575,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12162,'浦东新区招远路19弄29号5--6室','东北菜馆（栖霞店）',31.235963,121.515382,597,0,31,021-58773197 13122198777,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12228,'宝山区锦秋路809弄84号','上海玲红小吃店',31.32078854,121.3861718,2263,0,48,021-56878079,4.5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12303,'上海市闵行区江川路街道东川路889-9号','鸡排主义(东川路店)',31.016651,121.430623,53,0,23,18616301512,4.6,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12541,'宝山路130号1层','德克士（虹口店）',31.25216577,121.4770256,2254,0,20,13916769049,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12588,'上海市徐汇区古宜路134号底层及二层部分','台湾池上便当',31.189573,121.423019,2307,0,29,13761576867 021-64689258 021-64689258,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12668,'上海市浦东新区张江镇盛夏路906号102室','松叶家创作料理',31.20254559,121.630932,2117,0,48,18621364598 18321341814 38830286,4.8,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12753,'上海市静安区安远路621-623号1层','家味螺蛳粉',31.235391,121.435997,2942,0,48,15021426201 62303772,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12794,'上海市虹口区玉田路511号底层','A梦Eamonns(玉田店)',31.2798373,121.4853601,4803,0,57,33050127 33050071 15721485007,5,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
12833,'上海市静安区曹家渡街道安远路625号一层店铺','正宗重庆麻辣烫（安远路店）',31.235919,121.436851,2441,0,39,13761641643,4.8,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
13105,'上海市虹口区东江湾路444号小白楼107室','哈爹汉堡(龙梦店)',31.263639,121.45557,1674,0,34,18917686428 13052533930,4.8,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
13173,'上海市浦东新区张江镇晨晖路725号101室','养生粥(藿香路店)',31.200779,121.595169,2417,0,34,18202161866 50472506,4.9,0,FALSE,1,FALSE,,,,,,,,,,,,,,,,,,,
